映画タイトル,感想,評価,泣ける,笑える,勉強,キュキュン,怖い,ワクワク,ハラハラ
ウィッシュ,ディズニー100周年の集大成。2Dと3Dの融合で今までにない映像。,5,5,4,4,0,3,5,4
ダンジョンズ&ドラゴンズ,世界発のRPGが題材の作品。ユニークでおもしろい,4,3,4,1,3,2,5,5
鬼誕生　ゲゲゲの謎,なんとなく大人向けで怖くておもしろい,4,3,2,2,1,4,4,5
タイタニック,とても泣ける。純愛で感動した。,5,5,2,3,5,5,5,5
パリピ公明　アニメ総集編,懐かしの音楽が劇場音響で聞けて最高,3,1,3,1,1,1,5,2
ブルーロック,世界観に引き込まれる映画だった。,3,3,1,3,0,0,5,4
トランスフォーマー　ビーストの覚醒(4DX),戦闘シーンかっこよかった。4DXがよくて金払う価値ありだと思った。,4,3,2,1,1,3,2,4
推しの子　Mother and Children,アニメとしての完成度がすごく高い。歌唱シーンがあまり設けられてないのが残念,4,4,1,3,1,3,1,4
名探偵コナン　黒鉄の魚影,とても面白くて何回でも見たい。哀ちゃんがとにかくかわいい。,5,4,3,3,4,2,4,4
ハウ,声の出ない犬がかわいい,3,4,1,2,2,2,3,4
BLUE GIANT,劇場音響で聴くジャズがとてもよかった。原作とは違うラストで大号泣。,5,5,2,4,1,1,5,5
胸が鳴るのは君のせい,青春映画ですごくキュンキュンした。,4,2,1,1,5,1,3,2
かがみの孤城,いじめについて考えさせられる。とても感動的で大号泣した。,5,5,2,2,1,2,1,1
美女と野獣（実写版）,偏見で物事を見ないことの大切などを痛感する感動の物語です。知っている物語でも感動できます。アニメ版にはない感動があります。,5,5,1,2,4,1,2,2
オッペンハイマー,原発作った人の話　めちゃくちゃ勉強になる　同じ物理の道を歩んでいる身としてはまぢおもろかった,5,4,1,5,1,5,1,5
ホームアローン,おもしろい。かわいい。,5,3,3,1,１,3,5,5
窓際のトットちゃん,黒柳徹子さんの幼少期の体験談をもとに作られた映画。戦争のことを考えさせられる。,5,5,3,5,1,4,2,4
いま、会いにゆきます,亡くなった妻が梅雨の季節に帰ってくる映画でとても感動した。,5,5,2,1,4,1,1,2
バジーノイズ,サントラ音楽の良さを感じた。,5,5,2,4,3,4,5,2
四月になれば彼女は,とても考えさせられる内容だった。みんなが思う、愛を終わらせない方法が知りたい。,4,4,1,2,1,2,1,4
千と千尋の神隠し,豚にされた両親を救うために、見知らぬ地で働く千尋の姿に感動しました。,5,3,2,1,2,2,3,3
思い出のマーニー,マーニーの正体を知ったときは鳥肌が立った。内容はもちろん作画とサウンドトラックが神。あと食べ物がおいしそうなのがさすがジブリ。,５,５,２,２,１,５,５,４
ゴールデンカムイ,漫画の実写化で不安だったがかなり素晴らしい作品だった。是非みんなに見てもらいたい。,5,3,5,2,1,1,5,5
翔んで埼玉,面白かった,5,1,5,3,3,1,5,2
トイストーリー４,ウッディがバズ達と別の道を選ぶのが衝撃過ぎて私は許せない。だが海外では評価されているので賛否両論なんだと思う。,２,５,３,１,１,１,３,５
インターステラー,人類の存亡のために宇宙へ行ってしまった父と、地球で父親の帰りを待ちながら研究をし続けた娘の家族愛が泣けました。宇宙の環境や、惑星での時間の経過の仕方が現実に忠実なのもよかったです。ある惑星では１時間しかたっていないのに、地球では何年も経過してしまうシーンや、ブラックホールの付近を通過するシーンにはとてもハラハラしました。長編ですが、ぜひ全人類に見てほしいです。,５,５,１,５,１,２,５,５
君の膵臓を食べたい ,予想外の結末で一人で映画館で大号泣した,5,5,2,2,3,4,3,2
アナと雪の女王２,グラフィックがきれいで壮大。音楽もかっこいい,3,2,3,1,2,1,3,4
カノジョは嘘を愛しすぎてる,この作品でデビューした大原櫻子さんが好きで見てました。音楽を必死に頑張る姿や恋に必死な主人公に自分もこんな風に、自由にやりたいことに真っ直ぐでいたいと思えるような映画でした。作中の音楽も最高でした。,5,3,2,2,4,1,1,1
ライド・オン,ジャッキーチェンが主演の映画で親に勧められて見た映画でしたが、親子の絆やスタントマンという職業に対する良さや大変さ、それと向き合う人についてなど、見ていて学ぶこともあり、とても感動する映画でした。また、娘役の女優さんがとてもかわいかったです。,5,5,2,4,1,1,2,3
キングダム,臨場感がすごい。続編が楽しみすぎる。,5,4,3,1,2,2,5,5
ハイキュー～ゴミ捨て場の決戦～,映画ならではの臨場感が最高だった。誇張なしで６回見ました。高校生バレーの青春と両校の因縁の対決がほんとに感動した。,5,5,4,1,1,1,1,4
交換ウソ日記,こんな楽しい高校生活を私も送りたかったなと思うような映画でした。,5,3,2,1,5,1,2,1
スタンドバイミードラえもん,ドラえもんのために頑張るのび太が素敵✨,5,5,4,5,2,2,4,4
魔法少女まどか☆マギカ[新編]叛逆の物語,戦闘シーンの作画がこだわりが多すぎて感動した。シャフトの本気を実感した。10回見ました。最近は0.5倍速にはまっています。今年の冬に続編公開予定です！！前売り券何枚買おうかな。,5,4,2,2,4,4,5,5
ミスペレグリント奇妙な子供たち,ダークファンタジー風の物語。不思議な雰囲気が良かった。,4,3,3,2,3,3,4,4
ちむどんどん,演出から俳優の演技の何から何まで酷かった。,1,1,1,1,1,1,1,1
刀剣乱舞-継承-,ゲーム刀剣乱舞初の実写映画。本能寺の変の歴史を守ろうとする刀剣男士の物語です。キャストに舞台で刀剣男士を演じている役者を起用しているのでとにかくアクションの迫力や勢い、臨場感がすごいです。ゲームのキャラクターですがキャストの演技もさることながら衣装やウィッグの再現度も見どころです。最後はほっこりしますかわいかったです。,5,3,2,4,1,2,5,5
聲の形,耳の聞こえない女の子を小学校のクラス全員でいじめるのだが、主人公の男の子１人に責任を負わせ、次は男の子がいじめられる展開から始まるので、序盤はかなり胸糞の悪い映画。いじめから始まり、友情、恋愛感情、嫉妬心、様々な感情が入り混じっている考えさせられる作品。,４,３,１,５,２,３,３,５
ホーンテッド・キャンパス,ホラーと恋愛が融合した映画で、怖いシーンも多くありますが、主人公が所属するサークル内の人間関係の面白さなど、怖いけど見ていたくなる内容で、出演者をきっかけに見始めましたが、小説も読み始め、今21巻まで読み続けています。,5,2,3,2,4,5,1,2
そして、バトンは渡された,家族愛が感じられ、感動した。,5,5,1,2,3,1,1,1
名探偵コナン　ベイカー街の亡霊,子供たちが協力しあい、助け合うところに感動する。何回も見たくなる。,5,4,2,4,1,3,3,4
映画ドラえもん　のびたと鉄人兵団,鉄人兵団のリルルとピッポがのびた達とかかわることでの人間の良いところを知っていく。最後のシーンは何歳になっても大号泣する。,４,５,３,１,１,５,４,４
ローマの休日,すごく感動した。白黒だけど良い。オードリーヘップバーンかわいい,5,4,4,3,3,1,4,4
ある閉ざされた雪の山荘で,最後まで展開が読めなくて目が離せなかった。,3,3,1,3,1,4,3,4
カールおじさんと空飛ぶ家,とても感動した。号泣。カールおじいさんと妻の話が特に泣けた記憶。,4,5,4,1,1,1,4,4
ドクターチョコレート,謎解き要素やサスペンス要素がチープだった,2,1,2,3,2,1,1,1
花郎(ドラマ),キラキラアイドル並べえただけで内容がなかった,1,2,1,2,2,1,1,1
魔法にかけられて,ストーリーは非現実的だが、歌がとてもいいです。,5,3,5,1,3,2,5,2
ヒロイン失格,面白いし、キュンキュンする。,,,,,,,,
ウマ娘プリティーダービー　新時代の扉,ウマ娘1人1人に葛藤があって自分とも重なり感動した。ジャンポケ大好き結婚して。でもウマ娘好きじゃないとつまらないと思う。,4,5,5,3,5,1,5,5
舞妓はレディ,舞妓さんを目指す女の子に焦点を当てた映画。当時部活で和楽器をやっていたことや友達が舞妓さんになったことからこの映画を見ましたが、日本文化が好きな私にとっては学ぶことも多く、ミュージカル風の内容もとても面白かったですｌ。,4,3,2,5,1,1,3,1
夏へのトンネル、さよならの出口,映画にするには原作が深すぎるというか、考察厨はたのしめそうな作品。おはなしは好き,2,3,1,2,3,3,1,5
SPY×FAMILY CODE:White,声を出して笑ってしまうほど、面白かった。,5,1,5,1,1,1,5,5
キングダム,面白い。顔面偏差値高い。ワンオク最高。,5,2,3,2,1,3,5,5
黒崎くんの言いなりになんてならない,中島健人がひたすらカッコイイ,4,2,3,0,5,0,4,4
映画けいおん,平沢唯は俺の嫁。BIG LOVE_____,5,3,3,3,5,1,5,3
溺れるナイフ,途中まではよかったが、最後のほうは内容がよく分からなかった。,2,1,1,1,5,2,1,2
