映画タイトル,感想,評価,泣ける,笑える,勉強,キュキュン,怖い,ワクワク,ハラハラ,わかち書き
ウィッシュ,ディズニー100周年の集大成。2Dと3Dの融合で今までにない映像。,5,5,4,4,0,3,5,4,ディズニー 100 周年 の 集大成 。 2 d と 3 d の 融合 で 今まで に ない 映像 。
ダンジョンズ&ドラゴンズ,世界発のRPGが題材の作品。ユニークでおもしろい,4,3,4,1,3,2,5,5,世界 発 の RPG が 題材 の 作品 。 ユニーク だ おもしろい
鬼誕生　ゲゲゲの謎,なんとなく大人向けで怖くておもしろい,4,3,2,2,1,4,4,5,なん と ない 大人 向け で 怖い て おもしろい
タイタニック,とても泣ける。純愛で感動した。,5,5,2,3,5,5,5,5,とても 泣ける 。 純愛 で 感動 する た 。
パリピ公明　アニメ総集編,懐かしの音楽が劇場音響で聞けて最高,3,1,3,1,1,1,5,2,懐かしい の 音楽 が 劇場 音響 で 聞ける て 最高
ブルーロック,世界観に引き込まれる映画だった。,3,3,1,3,0,0,5,4,世界観 に 引き込む れる 映画 だ た 。
トランスフォーマー　ビーストの覚醒(4DX),戦闘シーンかっこよかった。4DXがよくて金払う価値ありだと思った。,4,3,2,1,1,3,2,4,戦闘 シーン かっこ よい た 。 4 DX が よい て 金 払う 価値 あり だ と 思う た 。
推しの子　Mother and Children,アニメとしての完成度がすごく高い。歌唱シーンがあまり設けられてないのが残念,4,4,1,3,1,3,1,4,アニメ と する て の 完成度 が すごい 高い 。 歌唱 シーン が あまり 設ける られる てる ない の が 残念
名探偵コナン　黒鉄の魚影,とても面白くて何回でも見たい。哀ちゃんがとにかくかわいい。,5,4,3,3,4,2,4,4,とても 面白い て 何回 で も 見る たい 。 哀 ちゃん が とにかく かわいい 。
ハウ,声の出ない犬がかわいい,3,4,1,2,2,2,3,4,声 の 出る ない 犬 が かわいい
BLUE GIANT,劇場音響で聴くジャズがとてもよかった。原作とは違うラストで大号泣。,5,5,2,4,1,1,5,5,劇場 音響 で 聴く ジャズ が とても よい た 。 原作 と は 違う ラスト で 大 号泣 。
胸が鳴るのは君のせい,青春映画ですごくキュンキュンした。,4,2,1,1,5,1,3,2,青春 映画 で すごい キュンキュン する た 。
かがみの孤城,いじめについて考えさせられる。とても感動的で大号泣した。,5,5,2,2,1,2,1,1,いじめ に つく て 考える させる られる 。 とても 感動的 だ 大 号泣 する た 。
美女と野獣（実写版）,偏見で物事を見ないことの大切などを痛感する感動の物語です。知っている物語でも感動できます。アニメ版にはない感動があります。,5,5,1,2,4,1,2,2,偏見 で 物事 を 見る ない こと の 大切 など を 痛感 する 感動 の 物語 です 。 知る て いる 物語 で も 感動 できる ます 。 アニメ 版 に は ない 感動 が ある ます 。
オッペンハイマー,原発作った人の話　めちゃくちゃ勉強になる　同じ物理の道を歩んでいる身としてはまぢおもろかった,5,4,1,5,1,5,1,5,原発 作る た 人 の 話 　 めちゃくちゃ 勉強 に なる 　 同じ 物理 の 道 を 歩む で いる 身 と する て は ま ぢ おもろい た
ホームアローン,おもしろい。かわいい。,5,3,3,1,１,3,5,5,おもしろい 。 かわいい 。
窓際のトットちゃん,黒柳徹子さんの幼少期の体験談をもとに作られた映画。戦争のことを考えさせられる。,5,5,3,5,1,4,2,4,黒柳 徹子 さん の 幼少期 の 体験談 を もと に 作る れる た 映画 。 戦争 の こと を 考える させる られる 。
いま、会いにゆきます,亡くなった妻が梅雨の季節に帰ってくる映画でとても感動した。,5,5,2,1,4,1,1,2,亡くなる た 妻 が 梅雨 の 季節 に 帰る て くる 映画 で とても 感動 する た 。
バジーノイズ,サントラ音楽の良さを感じた。,5,5,2,4,3,4,5,2,サントラ 音楽 の 良い さ を 感ずる た 。
四月になれば彼女は,とても考えさせられる内容だった。みんなが思う、愛を終わらせない方法が知りたい。,4,4,1,2,1,2,1,4,とても 考える させる られる 内容 だ た 。 みんな が 思う 、 愛 を 終わる せる ない 方法 が 知る たい 。
千と千尋の神隠し,豚にされた両親を救うために、見知らぬ地で働く千尋の姿に感動しました。,5,3,2,1,2,2,3,3,豚 に する れる た 両親 を 救う ため に 、 見知る ぬ 地 で 働く 千尋 の 姿 に 感動 する ます た 。
思い出のマーニー,マーニーの正体を知ったときは鳥肌が立った。内容はもちろん作画とサウンドトラックが神。あと食べ物がおいしそうなのがさすがジブリ。,５,５,２,２,１,５,５,４,マーニー の 正体 を 知る た とき は 鳥肌 が 立つ た 。 内容 は もちろん 作画 と サウンドトラック が 神 。 あと 食べ物 が おいしい そう だ の が さすが ジブリ 。
ゴールデンカムイ,漫画の実写化で不安だったがかなり素晴らしい作品だった。是非みんなに見てもらいたい。,5,3,5,2,1,1,5,5,漫画 の 実写化 で 不安 だ た が かなり 素晴らしい 作品 だ た 。 是非 みんな に 見る て もらう たい 。
翔んで埼玉,面白かった,5,1,5,3,3,1,5,2,面白い た
トイストーリー４,ウッディがバズ達と別の道を選ぶのが衝撃過ぎて私は許せない。だが海外では評価されているので賛否両論なんだと思う。,２,５,３,１,１,１,３,５,ウッディ が バズ 達 と 別 の 道 を 選ぶ の が 衝撃 過ぎる て 私 は 許せる ない 。 だ が 海外 で は 評価 する れる て いる の だ 賛否 両論 だ ん だ と 思う 。
インターステラー,人類の存亡のために宇宙へ行ってしまった父と、地球で父親の帰りを待ちながら研究をし続けた娘の家族愛が泣けました。宇宙の環境や、惑星での時間の経過の仕方が現実に忠実なのもよかったです。ある惑星では１時間しかたっていないのに、地球では何年も経過してしまうシーンや、ブラックホールの付近を通過するシーンにはとてもハラハラしました。長編ですが、ぜひ全人類に見てほしいです。,５,５,１,５,１,２,５,５,人類 の 存亡 の ため に 宇宙 へ 行く て しまう た 父 と 、 地球 で 父親 の 帰り を 待つ ながら 研究 を する 続ける た 娘 の 家族 愛 が 泣ける ます た 。 宇宙 の 環境 や 、 惑星 で の 時間 の 経過 の 仕方 が 現実 に 忠実 だ の も よい た です 。 ある 惑星 で は 1 時間 しか たつ て いる ない の に 、 地球 で は 何 年 も 経過 する て しまう シーン や 、 ブラックホール の 付近 を 通過 する シーン に は とても ハラハラ する ます た 。 長編 です が 、 ぜひ 全 人類 に 見る て ほしい です 。
君の膵臓を食べたい ,予想外の結末で一人で映画館で大号泣した,5,5,2,2,3,4,3,2,予想外 の 結末 で 一人 で 映画館 で 大 号泣 する た
