学校名,性別,年齢,住所,兄弟姉妹,住居,母学歴,父学歴,母職業,父職業,進学理由,保護者,通学時間,学習時間,落第数,奨学金,親もち,塾,部活,幼稚園,大学,ネット,恋人,家族,自由時間,外出,アルコール,パリピ,健康状態,欠席日,G1,G2,G3
GP高,女性,18,市内,あり,下宿,4,4,なし,教師,教育内容,母親,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6
GP高,女性,17,市内,あり,同居,1,1,なし,その他,教育内容,父親,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6
GP高,女性,15,市内,なし,同居,1,1,なし,その他,その他,母親,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10
GP高,女性,15,市内,あり,同居,4,2,医療,サービス,通いやすさ,母親,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15
GP高,女性,16,市内,あり,同居,3,3,その他,その他,通いやすさ,父親,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10
GP高,男性,16,市内,なし,同居,4,3,サービス,その他,評判の良さ,母親,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15
GP高,男性,16,市内,なし,同居,2,2,その他,その他,通いやすさ,母親,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11
GP高,女性,17,市内,あり,下宿,4,4,その他,教師,通いやすさ,母親,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6
GP高,男性,15,市内,なし,下宿,3,2,サービス,その他,通いやすさ,母親,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19
GP高,男性,15,市内,あり,同居,3,4,その他,その他,通いやすさ,母親,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15
GP高,女性,15,市内,あり,同居,4,4,教師,医療,評判の良さ,母親,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9
GP高,女性,15,市内,あり,同居,2,1,サービス,その他,評判の良さ,父親,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12
GP高,男性,15,市内,なし,同居,4,4,医療,サービス,教育内容,父親,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14
GP高,男性,15,市内,あり,同居,4,3,教師,その他,教育内容,母親,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11
GP高,男性,15,市内,あり,下宿,2,2,その他,その他,通いやすさ,その他,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16
GP高,女性,16,市内,あり,同居,4,4,医療,その他,通いやすさ,母親,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14
GP高,女性,16,市内,あり,同居,4,4,サービス,サービス,評判の良さ,母親,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14
GP高,女性,16,市内,あり,同居,3,3,その他,その他,評判の良さ,母親,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10
GP高,男性,17,市内,あり,同居,3,2,サービス,サービス,教育内容,母親,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5
GP高,男性,16,市内,なし,同居,4,3,医療,その他,通いやすさ,父親,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10
GP高,男性,15,市内,あり,同居,4,3,教師,その他,評判の良さ,母親,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15
GP高,男性,15,市内,あり,同居,4,4,医療,医療,その他,父親,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15
GP高,男性,16,市内,なし,同居,4,2,教師,その他,教育内容,母親,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16
GP高,男性,16,市内,なし,同居,2,2,その他,その他,評判の良さ,母親,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12
GP高,女性,15,郊外,あり,同居,2,4,サービス,医療,教育内容,母親,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8
GP高,女性,16,市内,あり,同居,2,2,サービス,サービス,通いやすさ,母親,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8
GP高,男性,15,市内,あり,同居,2,2,その他,その他,通いやすさ,母親,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11
